ImageNumber,ObjectNumber,Location_Center_X,Location_Center_Y,Number_Object_Number
1,1,100.0,45.0,1
1,2,61.357142857142854,47.642857142857146,2
1,3,55.950000000000003,48.75,3
1,4,58.649999999999999,52.549999999999997,4
1,5,65.079999999999998,52.079999999999998,5
1,6,48.0,53.0,6
1,7,68.583333333333329,54.875,7
1,8,61.600000000000001,55.93333333333333,8
1,9,94.0,55.0,9
1,10,65.0,58.5,10
1,11,46.0,59.0,11
1,12,34.0,62.0,12
1,13,117.0,62.0,13
1,14,33.0,70.0,14
1,15,91.0,70.0,15
1,16,86.0,76.0,16
1,17,56.708333333333336,84.25,17
1,18,45.0,86.0,18
1,19,52.722222222222221,87.166666666666671,19
1,20,127.0,87.0,20
1,21,65.708333333333329,90.25,21
1,22,91.515151515151516,93.242424242424249,22
1,23,61.722222222222221,93.166666666666671,23
1,24,48.0,94.0,24
1,25,95.545454545454547,96.13636363636364,25
1,26,99.047619047619051,97.571428571428569,26
1,27,92.5,99.0,27
1,28,54.0,101.0,28
1,29,96.15384615384616,101.53846153846153,29
1,30,60.0,102.0,30
1,31,136.0,103.0,31
1,32,103.0,106.0,32
1,33,61.047619047619051,108.04761904761905,33
1,34,58.705882352941174,111.29411764705883,34
1,35,81.0,111.0,35
1,36,65.0,115.0,36
1,37,93.0,120.0,37
1,38,85.0,124.0,38
1,39,100.20833333333333,124.29166666666667,39
1,40,96.833333333333329,126.38888888888889,40
1,41,102.28571428571429,127.5,41
1,42,127.0,127.0,42
1,43,80.0,129.90000000000001,43
1,44,80.0,133.5,44
1,45,63.0,162.0,45
